,Predicted_Dropout,Dropout_Probability
0,1,0.6961060551900388
1,0,0.028557429298722632
2,1,0.9991690959749829
3,0,0.16175353361994418
4,0,0.008699329009591411
5,0,0.08464214795079675
6,0,0.005459192449022726
7,1,0.9989337927536251
8,0,0.0054388179317237054
9,1,0.9546299646893825
10,0,0.038407577354408716
11,0,0.005759506079321829
12,1,0.9976914117956945
13,0,0.009792590810039708
14,0,0.001955458397979073
15,1,0.992220538092541
16,0,0.12679054625084762
17,0,0.03003522617257328
18,0,0.014731069784984787
19,0,0.02321865634219457
20,0,0.037381469005491684
21,0,0.013801842342714069
22,0,0.021942406076224476
23,0,0.0032704281078162934
24,0,0.0250033338707212
25,0,0.13842697852118568
26,0,0.005911052971263596
27,0,0.04361531847637636
28,0,0.002366629329562901
29,0,0.03102021785160978
30,0,0.009674876629255907
31,0,0.0019178161849554179
32,0,0.06637796283564439
33,0,0.005650660239580896
34,0,0.02054291864207683
35,1,0.9974771439815491
36,1,0.9997339845487305
37,1,0.9788712533388092
38,0,0.006882992461707721
39,1,0.9899150405364252
40,1,0.9986704962748513
41,0,0.015332810887965112
42,0,0.001042817929139172
43,1,0.9733762200304056
44,1,0.9989445546346857
45,0,0.03037494896022448
46,0,0.05945603215489951
47,0,0.11979424064105715
48,0,0.0016018161880265152
49,0,0.004399868652372589
50,0,0.0018791620145449496
51,0,0.012733541970050472
52,0,0.022645936790375878
53,0,0.004859527046605811
54,1,0.8175735099319751
55,0,0.03415333775114497
56,1,0.9971835069669088
57,1,0.8690857945343605
58,0,0.02337505418807956
59,0,0.07058884001476846
60,0,0.006804355263602488
61,0,0.007802030859234944
62,0,0.32898768722299343
63,0,0.07053667432792207
64,0,0.21553136139536316
65,1,0.9643516588758129
66,0,0.062473228693594327
67,0,0.002323458137325554
68,1,0.8574871181742413
69,0,0.02545829335732915
70,0,0.23360398633035864
71,0,0.011159864551866393
72,0,0.14675950941863608
73,1,0.9771806865457184
74,0,0.09035333260636055
75,1,0.955188460087309
76,1,0.9357392915796645
77,0,0.014487873000227015
78,0,0.011401019008615008
79,0,0.0004151248628051028
80,0,0.014579031126009246
81,1,0.9972468542403875
82,1,0.9456520152150222
83,0,0.0715134947366776
84,0,0.003422913954347194
85,0,0.007627594386123632
86,0,0.005414891836210117
87,0,0.015786063743063395
88,0,0.021316444944014325
89,1,0.9557601921481809
90,1,0.9875467443826723
91,0,0.009208272607872084
92,1,0.9932969190474599
93,1,0.999627828373762
94,0,0.00030984713495891067
95,0,0.016631521508299902
96,0,0.008358873569691089
97,0,0.0037084548806174187
98,0,0.002723708999533469
99,1,0.999051014994376
100,1,0.9385701470897452
101,0,0.09154688050854848
102,1,0.9909985708936941
103,0,0.00038425131289270784
104,1,0.9995917716997712
105,0,0.0019798526608892004
106,1,0.9989111302760266
107,1,0.8219887443653172
108,1,0.7812756464602977
109,0,0.10672382070949386
110,0,0.05625149261099652
111,0,0.0364657508750299
112,0,0.005458604798441452
113,0,0.061877990670520557
114,1,0.7075152951944901
115,0,0.002446999103175854
116,0,0.024691857294485777
117,0,0.03293770899928384
118,0,0.006299702216744174
119,0,0.00520392219001147
120,1,0.9241156205930452
121,0,0.02335012557289525
122,1,0.7691830119106038
123,0,0.01567001177004759
124,0,0.0017355785953426075
125,1,0.999819988929119
126,0,0.006205778805098042
127,0,0.011119016674605312
128,0,0.03296187900149763
129,0,0.0437595109732756
130,1,0.7347624880734658
131,0,0.0023983960269185873
132,0,0.013206439372036659
133,1,0.9978245601229883
134,0,0.0008890303928349101
135,1,0.993830969757784
136,0,0.026581973505969195
137,0,0.0008018330290047707
138,0,0.002985612493271323
139,0,0.002848989224917597
140,0,0.041706367880537755
141,0,0.06157122325713952
142,0,0.08352712282314688
143,0,0.0021504878092077333
144,0,0.007290149489191623
145,0,0.44557705423619465
146,1,0.9226821809883846
147,1,0.8460506904402177
148,0,0.014536553303960116
149,0,0.005485029170701941
150,0,0.07434852619990051
151,0,0.0007305000570497036
152,0,0.1152261957231724
153,0,0.017842948848825972
154,1,0.9318107608662481
155,1,0.8069425284509314
156,0,0.006021451167861438
157,0,0.003754039883669284
158,0,0.0021817455342260875
159,0,0.011643200842592849
160,1,0.7517816881563129
161,0,0.002731259782805576
162,0,0.006222704931329903
163,1,0.9614984224531261
164,0,0.004758481636050989
165,0,0.0059153700176222054
166,0,0.11443243079862385
167,0,0.12335799677906732
168,0,0.058936302559979795
169,1,0.583367152756688
170,0,0.025828255396917934
171,0,0.0026622884501839483
172,0,0.0033634761156530325
173,0,0.023302649524783364
174,1,0.943686311233991
175,0,0.0346035533380692
176,0,0.04931884935420092
177,1,0.971358289180041
178,1,0.8635648542557386
179,1,0.8323351487033046
180,0,0.024778289347351042
181,0,0.0041636266275982
182,1,0.9952721965579777
183,1,0.9972371713662852
184,1,0.998360239277987
